iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4209217e-322,6.244073e+88,3.113466e+88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971012,9.700063e+15,7.9131227e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.0363442e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,13587.466,16655.476,30242.942,0,1.35e+21,1.6657142,1.1269407e-07,1.6657141,0,0,1.8712053e+08,-2.0950113e+12,8.717419e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111049e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.9502937e+16,1.818904e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286198e+16,1.2315018e+18,2.2544376e+18,6.3947308e+20,0,36733.886,39385.696,76119.583,0,1.35e+21,3.9389635,3.5358534e-08,3.9389635,0,0,1.7506546e+08,-1.4698533e+12,8.6048655e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542375e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702219,2.9505737e+16,3.0477205e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.1933857e+16,1.1158972e+18,2.6419968e+18,6.5042875e+20,0,70761.707,68502.44,139264.15,0,1.35e+21,6.8509291,3.6876341e-08,6.8509291,0,0,1.6378786e+08,-1.0521478e+12,8.4225354e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418096e+10,5.5797611e+08,1.3209048e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.3
8000,40,0,1.0308138e+08,3.9795102e+16,4.4652074e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.2378511e+16,1.011189e+18,3.0029461e+18,6.5808556e+20,0,117165.26,104414.22,221579.48,0,1.35e+21,10.442467,1.8815154e-09,10.442467,0,0,1.5323758e+08,-7.6779907e+11,8.1978946e+09,-9.6495184e+10,-2.8057404e+10,-1.0112388e+10,-3.0027724e+10,5.0561942e+08,1.5013862e+09,2.4987251e+10,2.4987251e+10,2.2592594e+11,1.4120371e+10,6113061
10000,50,0,1.2206692e+08,5.0441166e+16,6.0580857e+16,1.7989015e+21,0,1.0771726e+19,2.6154652e+18,4.32e+12,3.2668146e+16,9.1634727e+17,3.3364473e+18,6.6352333e+20,0,177265.96,147585.95,324851.91,0,1.35e+21,14.760071,1.0458571e-07,14.760071,0,0,1.4336773e+08,-5.7064818e+11,7.9484933e+09,-1.0771204e+11,-2.6155562e+10,-9.1639239e+09,-3.3362875e+10,4.5819619e+08,1.6681437e+09,2.6797538e+10,2.6797538e+10,2.189044e+11,1.3681525e+10,8072275.4
12000,60,0,1.4140828e+08,6.1499722e+16,7.8128785e+16,1.7939305e+21,0,1.1744666e+19,2.4409423e+18,4.32e+12,3.2835939e+16,8.3043946e+17,3.6425014e+18,6.6744834e+20,0,252218.36,198520.98,450739.34,0,1.35e+21,19.854084,-4.4913815e-08,19.854084,0,0,1.3413441e+08,-4.3146125e+11,7.6858447e+09,-1.1744215e+11,-2.441026e+10,-8.3048033e+09,-3.6423551e+10,4.1524017e+08,1.8211776e+09,2.8364103e+10,2.8364103e+10,2.1183488e+11,1.323968e+10,10316666
14000,70,0,1.6089294e+08,7.3014163e+16,9.7162434e+16,1.7901431e+21,0,1.2581235e+19,2.2804967e+18,4.32e+12,3.290574e+16,7.5262148e+17,3.9216435e+18,6.7032904e+20,0,343018.89,257746.32,600765.21,0,1.35e+21,25.77721,0,25.77721,0,9.765625e-08,1.2549658e+08,-3.3142889e+11,7.4176745e+09,-1.2580848e+11,-2.2805737e+10,-7.526585e+09,-3.9215105e+10,3.7632925e+08,1.9607553e+09,2.9704878e+10,2.9704878e+10,2.0489035e+11,1.2805647e+10,12836562
16000,80,0,1.8034278e+08,8.5017214e+16,1.1755185e+17,1.7872133e+21,0,1.3293823e+19,2.1327632e+18,4.32e+12,3.2895364e+16,6.821291e+17,4.1747497e+18,6.7248019e+20,0,450516.08,325800.53,776316.61,0,1.35e+21,32.583311,0,32.583311,0,9.765625e-08,1.1741582e+08,-2.5826416e+11,7.1492583e+09,-1.3293495e+11,-2.1328341e+10,-6.8216263e+09,-4.1746295e+10,3.4108132e+08,2.0873147e+09,3.0838713e+10,3.0838713e+10,1.9817226e+11,1.2385766e+10,15619474
18000,90,0,1.996104e+08,9.7532479e+16,1.3917191e+17,1.784916e+21,0,1.3894451e+19,1.9965485e+18,4.32e+12,3.2818604e+16,6.1827047e+17,4.4029103e+18,6.7411586e+20,0,575421.3,403223.99,978645.3,0,1.35e+21,40.326432,-1.3679262e-08,40.326432,0,0,1.0985622e+08,-2.0382277e+11,6.884238e+09,-1.3894177e+11,-1.9966139e+10,-6.1830084e+09,-4.4028023e+10,3.0915042e+08,2.2014011e+09,3.1784392e+10,3.1784392e+10,1.9173753e+11,1.1983596e+10,18650914
