iter,time,Atmosphere0,Atmosphere1,CCrust0,CCrust1,LMantle0,LMantle1,OCrust0,OCrust1,Oceans0,Oceans1,Sediments0,Sediments1,UMantle0,UMantle1,Erosion0,Erosion1,Erosion2,Erosion3,Erosion4,Erosion5,Erosion6,Erosion7,Precipitation0,Precipitation1,CometDelivery0,Convection0,HydrothermalCirculation0,Subduction_Volcanism_Rainout0,Subduction_Volcanism_Rainout1,Subduction_Volcanism_Rainout2,Subduction_Volcanism_Rainout3,Subduction_Volcanism_Rainout4,Subduction_Volcanism_Rainout5,Subduction_Volcanism_Rainout6,Subduction_Volcanism_Rainout7,Subduction_Volcanism_Rainout8,Subduction_Volcanism_Rainout9,Subduction_Volcanism_Rainout10
0,0,0,3.6e+10,100,200,1.87e+21,0,3.5e+18,3.6e+18,1.5e+18,1.6e+18,100,200,6e+20,0,0,0,0,0,2.3715151e-322,2.4555063e-321,4.6807433e-310,4.4955833e+282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0,50971011,9.7001413e+15,7.9130708e+15,1.844626e+21,0,5.2931978e+18,3.4903329e+18,4.32e+12,3.036344e+16,1.3591407e+18,1.8424325e+18,6.235428e+20,0,25425.883,0,25425.883,0,1.35e+21,3.1170546,4.872942e-08,3.1170546,0,0,1.8712053e+08,-2.0950113e+12,8.7174184e+09,-5.2923424e+10,-3.4904638e+10,-1.3592077e+10,-1.842221e+10,6.7960387e+08,9.2111048e+08,1.7972128e+10,1.7972128e+10,2.4274053e+11,1.5171283e+10,1978860.5
4000,20,0,67220909,1.950329e+16,1.8188776e+16,1.8270175e+21,0,6.9176239e+18,3.24066e+18,4.32e+12,3.1286195e+16,1.2315018e+18,2.2544376e+18,6.3947308e+20,0,68738.651,0,68738.651,0,1.35e+21,7.3710652,-1.0210885e-08,7.3710652,0,0,1.7506546e+08,-1.4698533e+12,8.6048646e+09,-6.9168551e+10,-3.240779e+10,-1.2315626e+10,-2.2542374e+10,6.1578128e+08,1.1271187e+09,2.0579488e+10,2.0579488e+10,2.3848026e+11,1.4905016e+10,3068629.1
6000,30,0,84702218,2.9506624e+16,3.0476481e+16,1.8145451e+21,0,8.3684502e+18,3.0133113e+18,4.32e+12,3.1933854e+16,1.1158972e+18,2.6419967e+18,6.5042875e+20,0,132412.32,0,132412.32,0,1.35e+21,12.820441,-4.7409774e-08,12.820441,0,0,1.6378786e+08,-1.0521478e+12,8.4225345e+09,-8.3677677e+10,-3.0134198e+10,-1.1159522e+10,-2.6418095e+10,5.5797611e+08,1.3209047e+09,2.2917892e+10,2.2917892e+10,2.3261075e+11,1.4538172e+10,4444883.3
8000,40,0,1.0308138e+08,3.9796848e+16,4.4650539e+16,1.8055347e+21,0,9.6501183e+18,2.8056411e+18,4.32e+12,3.237851e+16,1.011189e+18,3.0029459e+18,6.5808556e+20,0,219242.31,0,219242.31,0,1.35e+21,19.541711,2.7735769e-08,19.541711,0,0,1.5323758e+08,-7.6779907e+11,8.1978943e+09,-9.6495184e+10,-2.8057404e+10,-1.0112388e+10,-3.0027723e+10,5.0561942e+08,1.5013861e+09,2.498725e+10,2.498725e+10,2.2592594e+11,1.4120371e+10,6113061
10000,50,0,1.2206692e+08,5.0444166e+16,6.057805e+16,1.7989015e+21,0,1.0771726e+19,2.6154651e+18,4.32e+12,3.2668149e+16,9.1634727e+17,3.3364472e+18,6.6352333e+20,0,331700.14,0,331700.14,0,1.35e+21,27.621973,1.085824e-07,27.621973,0,0,1.4336773e+08,-5.7064818e+11,7.948494e+09,-1.0771204e+11,-2.6155562e+10,-9.1639239e+09,-3.3362873e+10,4.5819619e+08,1.6681437e+09,2.6797538e+10,2.6797538e+10,2.189044e+11,1.3681525e+10,8072275.3
12000,60,0,1.4140828e+08,6.1504446e+16,7.8124117e+16,1.7939305e+21,0,1.1744666e+19,2.4409423e+18,4.32e+12,3.2835948e+16,8.3043947e+17,3.6425014e+18,6.6744834e+20,0,471944.77,0,471944.77,0,1.35e+21,37.155544,-1.7194417e-08,37.155544,0,0,1.3413441e+08,-4.3146125e+11,7.6858468e+09,-1.1744215e+11,-2.441026e+10,-8.3048033e+09,-3.6423551e+10,4.1524017e+08,1.8211776e+09,2.8364103e+10,2.8364103e+10,2.1183488e+11,1.323968e+10,10316666
14000,70,0,1.6089294e+08,7.3021161e+16,9.7155186e+16,1.7901431e+21,0,1.2581235e+19,2.2804968e+18,4.32e+12,3.2905758e+16,7.5262148e+17,3.9216438e+18,6.7032904e+20,0,641838.96,0,641838.96,0,1.35e+21,48.241184,0,48.241184,0,9.765625e-08,1.2549658e+08,-3.3142889e+11,7.4176786e+09,-1.2580848e+11,-2.2805737e+10,-7.526585e+09,-3.9215108e+10,3.7632925e+08,1.9607554e+09,2.9704878e+10,2.9704878e+10,2.0489035e+11,1.2805647e+10,12836562
16000,80,0,1.8034279e+08,8.5027122e+16,1.1754116e+17,1.7872133e+21,0,1.3293823e+19,2.1327633e+18,4.32e+12,3.2895394e+16,6.821291e+17,4.1747504e+18,6.7248019e+20,0,842968.29,0,842968.29,0,1.35e+21,60.979836,-3.4237701e-08,60.979836,0,0,1.1741582e+08,-2.5826416e+11,7.1492648e+09,-1.3293495e+11,-2.1328342e+10,-6.8216263e+09,-4.1746302e+10,3.4108132e+08,2.0873151e+09,3.0838714e+10,3.0838714e+10,1.9817226e+11,1.2385766e+10,15619474
18000,90,0,1.996104e+08,9.7546024e+16,1.3915677e+17,1.784916e+21,0,1.3894451e+19,1.9965486e+18,4.32e+12,3.2818648e+16,6.1827047e+17,4.4029116e+18,6.7411586e+20,0,1076661.3,0,1076661.3,0,1.35e+21,75.472812,1.2206485e-08,75.472812,0,0,1.0985622e+08,-2.0382277e+11,6.8842473e+09,-1.3894177e+11,-1.996614e+10,-6.1830085e+09,-4.4028036e+10,3.0915042e+08,2.2014018e+09,3.1784393e+10,3.1784393e+10,1.9173753e+11,1.1983596e+10,18650915
